od,before,after,delta
TAW->CHH,3.4699999999999998,8.14,4.670000000000001
TAW->DIH,3.38,8.05,4.670000000000001
TAW->HOM,3.52,8.209999999999999,4.6899999999999995
TAW->KOB,3.5799999999999996,8.25,4.67
TAW->KOT,3.09,8.290000000000001,5.200000000000001
TAW->KWT,3.8399999999999994,8.51,4.67
TAW->LAT,3.9399999999999995,8.61,4.67
TAW->LOF,3.19,8.21,5.020000000000001
TAW->MOK,3.36,8.379999999999999,5.02
TAW->NTK,3.6899999999999995,8.36,4.67
TAW->PRE,3.28,8.469999999999999,5.1899999999999995
TAW->SKM,3.19,8.39,5.200000000000001
TAW->TIK,4.14,8.809999999999999,4.669999999999999
TAW->WHA,3.56,8.249999999999998,4.689999999999998
TAW->WTS,3.29,8.13,4.840000000000001
TAW->YAT,4.029999999999999,8.7,4.67
TAW->YMT,3.44,8.28,4.84
TWO->CHH,3.92,8.59,4.67
TWO->DIH,3.83,8.5,4.67
TWO->HOM,3.97,8.66,4.6899999999999995
TWO->KOB,4.03,8.7,4.669999999999999
TWO->KOT,3.54,8.74,5.2
TWO->KWT,4.290000000000001,8.959999999999999,4.669999999999998
TWO->LAT,4.390000000000001,9.059999999999999,4.669999999999998
TWO->LOF,3.64,8.66,5.02
TWO->MOK,3.81,8.83,5.02
TWO->NTK,4.140000000000001,8.809999999999999,4.669999999999998
TWO->PRE,3.73,8.92,5.1899999999999995
TWO->SKM,3.64,8.84,5.199999999999999
TWO->TIK,4.590000000000001,9.259999999999998,4.669999999999997
TWO->WHA,4.01,8.7,4.6899999999999995
TWO->WTS,3.74,8.58,4.84
TWO->YAT,4.48,9.149999999999999,4.669999999999998
TWO->YMT,3.89,8.73,4.84
UNI->CHH,3.75,8.42,4.67
UNI->DIH,3.66,8.33,4.67
UNI->HOM,3.8000000000000003,8.489999999999998,4.689999999999998
UNI->KOB,3.86,8.53,4.67
UNI->KOT,3.37,8.57,5.2
UNI->KWT,4.12,8.79,4.669999999999999
UNI->LAT,4.22,8.889999999999999,4.669999999999999
UNI->LOF,3.47,8.49,5.02
UNI->MOK,3.64,8.659999999999998,5.019999999999998
UNI->NTK,3.9699999999999998,8.639999999999999,4.669999999999999
UNI->PRE,3.56,8.749999999999998,5.189999999999998
UNI->SKM,3.47,8.67,5.199999999999999
UNI->TIK,4.42,9.089999999999998,4.669999999999998
UNI->WHA,3.8400000000000003,8.529999999999998,4.689999999999998
UNI->WTS,3.5700000000000003,8.41,4.84
UNI->YAT,4.31,8.979999999999999,4.669999999999999
UNI->YMT,3.72,8.559999999999999,4.839999999999998
FOT->CHH,3.65,8.32,4.67
FOT->DIH,3.56,8.23,4.67
