Time,Hour,Source,Target,Volume_per_min,Capacity_per_min,VC_Ratio,Is_Transfer
00:00,0,ADM_EAL,ADM_ISL,63.483715833333335,350.0,0.18138204523809523,True
01:00,1,ADM_EAL,ADM_ISL,12.696743166666666,350.0,0.03627640904761904,True
02:00,2,ADM_EAL,ADM_ISL,0.0,350.0,0.0,True
03:00,3,ADM_EAL,ADM_ISL,0.0,350.0,0.0,True
04:00,4,ADM_EAL,ADM_ISL,0.0,350.0,0.0,True
05:00,5,ADM_EAL,ADM_ISL,126.96743166666667,350.0,0.36276409047619046,True
06:00,6,ADM_EAL,ADM_ISL,380.902295,350.0,1.0882922714285714,True
07:00,7,ADM_EAL,ADM_ISL,1015.7394533333334,350.0,2.9021127238095237,True
08:00,8,ADM_EAL,ADM_ISL,1904.5114749999998,350.0,5.441461357142857,True
09:00,9,ADM_EAL,ADM_ISL,1142.7068849999998,350.0,3.2648768142857136,True
10:00,10,ADM_EAL,ADM_ISL,634.8371583333334,350.0,1.8138204523809525,True
11:00,11,ADM_EAL,ADM_ISL,507.8697266666667,350.0,1.4510563619047618,True
12:00,12,ADM_EAL,ADM_ISL,571.3534424999999,350.0,1.6324384071428568,True
13:00,13,ADM_EAL,ADM_ISL,571.3534424999999,350.0,1.6324384071428568,True
14:00,14,ADM_EAL,ADM_ISL,507.8697266666667,350.0,1.4510563619047618,True
15:00,15,ADM_EAL,ADM_ISL,571.3534424999999,350.0,1.6324384071428568,True
16:00,16,ADM_EAL,ADM_ISL,698.3208741666666,350.0,1.9952024976190474,True
17:00,17,ADM_EAL,ADM_ISL,1015.7394533333334,350.0,2.9021127238095237,True
18:00,18,ADM_EAL,ADM_ISL,1650.5766116666666,350.0,4.715933176190476,True
19:00,19,ADM_EAL,ADM_ISL,761.80459,350.0,2.176584542857143,True
20:00,20,ADM_EAL,ADM_ISL,507.8697266666667,350.0,1.4510563619047618,True
21:00,21,ADM_EAL,ADM_ISL,444.3860108333334,350.0,1.2696743166666669,True
22:00,22,ADM_EAL,ADM_ISL,380.902295,350.0,1.0882922714285714,True
23:00,23,ADM_EAL,ADM_ISL,253.93486333333334,350.0,0.7255281809523809,True
00:00,0,ADM_EAL,ADM_SIL,20.637150833333333,350.0,0.0589632880952381,True
01:00,1,ADM_EAL,ADM_SIL,4.127430166666667,350.0,0.011792657619047619,True
02:00,2,ADM_EAL,ADM_SIL,0.0,350.0,0.0,True
03:00,3,ADM_EAL,ADM_SIL,0.0,350.0,0.0,True
04:00,4,ADM_EAL,ADM_SIL,0.0,350.0,0.0,True
