Source,Target,Volume
NAC_TCL,NAC_TML,140303.36
NAC_TCL,OLY_TCL,162704.07
NAC_TCL,LAK_TCL,323140.21
NAC_TML,NAC_TCL,151306.2
NAC_TML,AUS_TML,71483.89
NAC_TML,MEF_TML,184629.33
NOP_ISL,NOP_TKL,412607.14
NOP_ISL,FOH_ISL,1749825.19
NOP_ISL,QUB_ISL,1439493.28
NOP_TKL,NOP_ISL,484352.48
NOP_TKL,QUB_TKL,472898.79
NTK_KTL,KOB_KTL,1483831.62
NTK_KTL,KWT_KTL,1064139.85
OCP_SIL,ADM_SIL,188918.32
OCP_SIL,WCH_SIL,138838.65
OLY_TCL,KOW_TCL,125079.75
OLY_TCL,NAC_TCL,198116.93
POA_TKL,HAH_TKL,166054.7
PRE_KTL,PRE_TWL,1009457.19
PRE_KTL,MOK_KTL,3160947.88
PRE_KTL,SKM_KTL,2884908.74
PRE_TWL,PRE_KTL,1108989.61
PRE_TWL,MOK_TWL,2865691.06
PRE_TWL,SSP_TWL,2804330.8
QUB_ISL,QUB_TKL,523374.29
QUB_ISL,NOP_ISL,1272374.97
QUB_ISL,TAK_ISL,1286773.55
QUB_TKL,QUB_ISL,457123.56
QUB_TKL,NOP_TKL,563385.04
QUB_TKL,YAT_TKL,494854.13
SHM_TML,TSH_TML,99519.35
SHM_TML,CIO_TML,254977.28
SHS_EAL,FAN_EAL,378929.27
SHS_EAL,LOW_EAL,38391.65
SHS_EAL,LMC_EAL,41702.13
SHT_EAL,TAW_EAL,1048668.95
SHT_EAL,FOT_EAL,935723.48
SHW_ISL,SYP_ISL,1140316.97
SHW_ISL,CEN_ISL,1478057.46
SIH_TML,TIS_TML,171266.57
SIH_TML,TUM_TML,48431.61
SKM_KTL,PRE_KTL,2800997.98
SKM_KTL,KOT_KTL,2709213.59
SKW_ISL,SWH_ISL,638211.52
SKW_ISL,HFC_ISL,472252.4
SOH_SIL,LET_SIL,45284.56
SSP_TWL,PRE_TWL,3280018.31
SSP_TWL,CSW_TWL,2571558.28
STW_TML,CIO_TML,106686.88
STW_TML,CKT_TML,415888.2
SUN_DRL,SUN_TCL,8655.45
SUN_DRL,DIS_DRL,3674.17
SUN_TCL,SUN_DRL,7824.47
SUN_TCL,TSY_TCL,72236.71
SUN_TCL,TUC_TCL,57145.91
