Time,Hour,Source,Target,Volume_per_min,Capacity_per_min,VC_Ratio,Is_Transfer
08:00,8,YMT_TWL,JOR_TWL,9183.069075,555.5065690856185,16.530981965011907,False
08:00,8,MOK_TWL,YMT_TWL,8750.537,555.5065690856185,15.752355574126987,False
08:00,8,SSP_TWL,PRE_TWL,8200.045775,555.5065690856185,14.761383989567463,False
08:00,8,PRE_KTL,MOK_KTL,7902.369699999999,545.7203183368523,14.480622096101191,False
08:00,8,JOR_TWL,TST_TWL,7988.991424999999,555.5065690856185,14.381452658876984,False
08:00,8,MOK_KTL,PRE_KTL,7657.4481749999995,545.7203183368523,14.031817980200893,False
08:00,8,MOK_KTL,MOK_TWL,4652.619349999999,350.0,13.29319814285714,True
08:00,8,PRE_KTL,SKM_KTL,7212.271850000001,545.7203183368523,13.21605886322917,False
08:00,8,CSW_TWL,SSP_TWL,7334.3337,555.5065690856185,13.202964839952383,False
08:00,8,PRE_TWL,MOK_TWL,7164.22765,555.5065690856185,12.896746948992066,False
08:00,8,SKM_KTL,PRE_KTL,7002.494949999999,545.7203183368523,12.831655180699405,False
08:00,8,JOR_TWL,YMT_TWL,7068.428275,555.5065690856185,12.724292867742065,False
08:00,8,PRE_TWL,SSP_TWL,7010.826999999999,555.5065690856185,12.62060142968254,False
08:00,8,SKM_KTL,KOT_KTL,6773.033974999999,545.7203183368523,12.411181602403275,False
08:00,8,YMT_KTL,MOK_KTL,6595.434200000001,545.7203183368523,12.085740586130955,False
08:00,8,ADM_ISL,WAC_ISL,6152.32635,510.4199936122644,12.053458773156043,False
08:00,8,KOT_KTL,SKM_KTL,6547.428599999999,545.7203183368523,11.997773181607142,False
08:00,8,TST_TWL,JOR_TWL,6603.296075,555.5065690856185,11.886981077234129,False
08:00,8,KOT_KTL,LOF_KTL,6456.918199999999,545.7203183368523,11.831918261130951,False
08:00,8,WAC_ISL,ADM_ISL,5974.076675,510.4199936122644,11.704237196355106,False
08:00,8,SSP_TWL,CSW_TWL,6428.895699999999,555.5065690856185,11.57303271963492,False
18:00,18,MOK_KTL,MOK_TWL,4032.2701033333337,350.0,11.520771723809524,True
08:00,8,WAC_ISL,CAB_ISL,5812.9837,510.4199936122644,11.38862852699257,False
08:00,8,LCK_TWL,CSW_TWL,6294.500274999999,555.5065690856185,11.331099622027779,False
08:00,8,MOK_TWL,PRE_TWL,6238.9768,555.5065690856185,11.23114855377778,False
08:00,8,LOF_KTL,WTS_KTL,5994.25895,545.7203183368523,10.984122724747026,False
08:00,8,CAB_ISL,WAC_ISL,5600.84815,510.4199936122644,10.9730187298553,False
08:00,8,LOF_KTL,KOT_KTL,5915.052525,545.7203183368523,10.83898166560268,False
08:00,8,CAB_ISL,TIH_ISL,5414.60895,510.4199936122644,10.608144308142355,False
08:00,8,MEF_TWL,LCK_TWL,5745.468475000001,555.5065690856185,10.342755234123018,False
08:00,8,CSW_TWL,LCK_TWL,5720.274825,555.5065690856185,10.297402665130955,False
08:00,8,TST_TWL,ADM_TWL,5634.6811,555.5065690856185,10.143320373825398,False
08:00,8,TIH_ISL,CAB_ISL,5172.632,510.4199936122644,10.134070108408292,False
08:00,8,YMT_TWL,MOK_TWL,5616.0161499999995,555.5065690856185,10.109720501134921,False
08:00,8,WTS_KTL,LOF_KTL,5455.5143,545.7203183368523,9.996905221755954,False
08:00,8,TIH_ISL,FOH_ISL,5046.285999999999,510.4199936122644,9.886536701447007,False
07:00,7,YMT_TWL,JOR_TWL,4897.63684,496.8454258675079,9.857465893841269,False
08:00,8,WTS_KTL,DIH_KTL,5376.5199250000005,545.7203183368523,9.852152731614586,False
08:00,8,ADM_TWL,TST_TWL,5346.451899999999,555.5065690856185,9.62446206315873,False
18:00,18,YMT_TWL,JOR_TWL,7958.659865,831.736035049288,9.568732782544856,False
08:00,8,LCK_TWL,MEF_TWL,5265.7348999999995,555.5065690856185,9.479158650936508,False
08:00,8,FOH_ISL,TIH_ISL,4820.784675,510.4199936122644,9.444741066828314,False
08:00,8,MOK_KTL,YMT_KTL,5145.932849999999,545.7203183368523,9.429615642098215,False
07:00,7,MOK_TWL,YMT_TWL,4666.953066666667,496.8454258675079,9.39316902941799,False
08:00,8,TKW_TML,HOM_TML,3299.3135249999996,357.52872998723115,9.228107417039833,False
18:00,18,MOK_TWL,YMT_TWL,7583.798733333333,831.736035049288,9.118035547039781,False
08:00,8,FOH_ISL,NOP_ISL,4600.4321,510.4199936122644,9.013032713398514,False
18:00,18,PRE_KTL,MOK_KTL,6848.720406666666,761.5218434949592,8.993465473340688,False
08:00,8,DIH_KTL,WTS_KTL,4852.653074999999,545.7203183368523,8.892197911540178,False
08:00,8,CHH_KTL,DIH_KTL,4821.149124999999,545.7203183368523,8.834468798400296,False
07:00,7,SSP_TWL,PRE_TWL,4373.357746666667,496.8454258675079,8.802250194878306,False
08:00,8,ADM_ISL,CEN_ISL,4450.025949999999,510.4199936122644,8.718361360625732,False
18:00,18,MOK_KTL,PRE_KTL,6636.455085,761.5218434949592,8.714727150231678,False
08:00,8,HOM_TML,HUH_TML,3108.971475,357.52872998723115,8.695724886531591,False
08:00,8,SUW_TML,TKW_TML,3087.0304499999997,357.52872998723115,8.634356321826921,False
07:00,7,JOR_TWL,TST_TWL,4260.795426666667,496.8454258675079,8.575696192084655,False
