Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
OLY,WKS,18.71,3,0.002574107923593269,0.0025331052
OLY,WTS,7.389999999999999,2,0.0142061396094164,0.014209704
OLY,YAT,8.129999999999999,2,0.011996607359438752,0.012132986
OLY,YMT,4.2,1,0.036982248520710054,0.037098996
OLY,YUL,5.38,1,0.02456736863827989,0.02468423
POA,ADM,4.199999999999999,1,0.03698224852071007,0.037098996
POA,AIR,12.799999999999999,2,0.005250997689561017,0.0053965542
POA,AUS,9.71,2,0.008718084183564491,0.008799443
POA,AWE,13.999999999999998,2,0.004444444444444445,0.0043425094
POA,CAB,4.0,1,0.04,0.040079176
POA,CEN,4.27,1,0.03600632271026793,0.036191136
POA,CHH,4.1000000000000005,1,0.038446751249519406,0.03852999
POA,CHW,4.2,1,0.036982248520710054,0.037098996
POA,CIO,13.38,2,0.004835954743201131,0.004940846
POA,CKT,9.38,2,0.009281224824677662,0.009390878
POA,CSW,7.86,2,0.012738918414870905,0.01270016
POA,DIH,4.19,1,0.03712489929871065,0.037133664
POA,DIS,16.439999999999998,4,0.003287812473697501,0.0031112258
POA,ETS,7.71,2,0.013181465278043234,0.013175226
POA,EXC,7.27,2,0.014621400759435556,0.014847696
POA,FAN,8.16,2,0.011918155641578153,0.011757334
POA,FOH,3.8600000000000003,1,0.04233771952107571,0.042561732
POA,FOT,7.720000000000001,2,0.01315124989479,0.013175226
POA,HAH,0.22,0,0.6718624025799517,0.68176067
POA,HEO,13.98,2,0.004456320042210263,0.0043425094
POA,HFC,4.140000000000001,1,0.037850686611455124,0.037800595
POA,HIK,7.24,2,0.014728061080214912,0.014847696
POA,HKU,4.509999999999999,1,0.03293796792500685,0.033256564
POA,HOK,9.27,2,0.009481108417422864,0.009615731
POA,HOM,4.86,1,0.029120898321471418,0.029665023
POA,HUH,7.34,2,0.014376987618538263,0.014370472
POA,JOR,7.379999999999999,2,0.01424006470685403,0.014209704
POA,KAT,7.260000000000001,2,0.014656825097174746,0.014847696
POA,KET,4.5699999999999985,1,0.0322321748015304,0.032409962
POA,KOB,4.03,1,0.03952428569734673,0.039656322
