Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
HIK,90.0,顯徑,Hin Keng,TML,False,21,3,5,4,9,90.0,Hin Keng,79,3.0,7.0,7.0,15.0,6.0,6.0,4.0,15.0,9.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,2,Commercial
HKU,82.0,香港大學,HKU,ISL,False,21,3,5,4,9,82.0,HKU,189,7.0,9.0,18.0,34.0,25.0,8.0,1.0,9.0,42.0,3.0,0.0,18.0,12.0,0.0,3.0,0.0,1,Residential
HOK,44.0,香港,Hong Kong,"AEL,TCL",True,0,0,0,0,0,44.0,Hong Kong,280,65.0,17.0,38.0,25.0,52.0,8.0,27.0,11.0,3.0,20.0,3.0,3.0,3.0,4.0,1.0,0.0,0,Mixed
HOM,84.0,何文田,Ho Man Tin,"KTL,TML",True,24,3,7,4,10,84.0,Ho Man Tin,182,8.0,4.0,16.0,47.0,16.0,8.0,1.0,13.0,23.0,8.0,0.0,4.0,14.0,13.0,3.0,4.0,2,Commercial
HUH,64.0,紅磡,Hung Hom,"EAL,TML",True,23,4,5,5,9,64.0,Hung Hom,115,12.0,7.0,26.0,9.0,16.0,3.0,5.0,6.0,9.0,7.0,0.0,0.0,4.0,7.0,0.0,4.0,2,Commercial
JOR,4.0,佐敦,Jordan,TWL,False,20,2,5,4,9,4.0,Jordan,441,17.0,7.0,22.0,29.0,57.0,13.0,5.0,19.0,23.0,208.0,2.0,28.0,10.0,1.0,0.0,0.0,0,Mixed
KAT,91.0,啟德,Kai Tak,TML,False,20,2,5,4,9,91.0,Kai Tak,88,13.0,2.0,24.0,6.0,16.0,6.0,8.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2,Commercial
KET,83.0,堅尼地城,Kennedy Town,ISL,False,21,3,5,4,9,83.0,Kennedy Town,157,7.0,6.0,13.0,36.0,20.0,9.0,6.0,15.0,20.0,2.0,0.0,12.0,5.0,0.0,5.0,1.0,1,Residential
KOB,13.0,九龍灣,Kowloon Bay,KTL,False,23,5,5,4,9,13.0,Kowloon Bay,213,13.0,8.0,23.0,58.0,25.0,8.0,7.0,18.0,24.0,0.0,0.0,13.0,10.0,4.0,2.0,0.0,1,Residential
KOT,8.0,九龍塘,Kowloon Tong,"EAL,KTL",True,26,4,7,5,10,8.0,Kowloon Tong,156,5.0,2.0,15.0,39.0,10.0,8.0,6.0,10.0,44.0,3.0,0.0,6.0,5.0,3.0,0.0,0.0,2,Commercial
